reward: 0.6367, Epoch: 107, params: 2079169, epoch_time: 21.3452, genotype: [[2, [1, 0, 10, 8], [2, 3, 1, 8], [2, 1, 2, 2]], [[3, 1], [2, 4], [5, 5]]]
reward: 0.7503, Epoch: 108, params: 2169889, epoch_time: 61.9572, genotype: [[9, [1, 0, 4, 3], [0, 1, 5, 5], [3, 7, 3, 9]], [[2, 0], [4, 2], [4, 0]]]
reward: 0.7236, Epoch: 109, params: 2196673, epoch_time: 50.6352, genotype: [[7, [1, 0, 6, 4], [0, 0, 7, 3], [0, 2, 6, 4]], [[2, 0], [3, 1], [4, 2]]]
reward: 0.6794, Epoch: 110, params: 2258881, epoch_time: 25.0323, genotype: [[8, [1, 0, 6, 9], [0, 2, 5, 9], [4, 5, 6, 9]], [[1, 2], [3, 3], [4, 1]]]
reward: 0.7305, Epoch: 111, params: 2083489, epoch_time: 37.7257, genotype: [[3, [1, 0, 8, 3], [0, 3, 7, 5], [7, 5, 9, 4]], [[1, 0], [4, 2], [2, 2]]]
reward: 0.7340, Epoch: 112, params: 2175073, epoch_time: 29.5814, genotype: [[2, [0, 1, 6, 10], [1, 1, 2, 5], [3, 0, 4, 0]], [[2, 0], [1, 4], [4, 4]]]
reward: 0.7293, Epoch: 113, params: 2314465, epoch_time: 31.1226, genotype: [[2, [1, 1, 5, 2], [1, 4, 8, 8], [6, 1, 1, 6]], [[3, 2], [2, 2], [0, 4]]]
reward: 0.0007, Epoch: 114, params: 1959073, epoch_time: 2.6748, genotype: [[0, [1, 0, 7, 7], [4, 2, 0, 2], [1, 4, 7, 9]], [[1, 0], [0, 2], [4, 1]]]
reward: 0.7101, Epoch: 115, params: 2172481, epoch_time: 24.3193, genotype: [[10, [1, 0, 3, 7], [4, 0, 9, 3], [2, 1, 5, 5]], [[0, 1], [0, 4], [1, 3]]]
reward: 0.1444, Epoch: 116, params: 2085793, epoch_time: 27.7913, genotype: [[4, [1, 1, 2, 8], [3, 3, 3, 9], [1, 5, 6, 8]], [[2, 2], [2, 3], [3, 0]]]
reward: 0.7263, Epoch: 117, params: 2037697, epoch_time: 32.6984, genotype: [[9, [1, 0, 10, 5], [3, 1, 4, 4], [0, 6, 9, 8]], [[2, 0], [1, 2], [2, 5]]]
reward: 0.7346, Epoch: 118, params: 2167873, epoch_time: 29.3267, genotype: [[9, [0, 1, 5, 2], [0, 4, 2, 3], [7, 1, 10, 6]], [[2, 2], [3, 2], [0, 5]]]
reward: 0.7434, Epoch: 119, params: 2295169, epoch_time: 26.1881, genotype: [[5, [1, 0, 7, 5], [2, 0, 2, 3], [2, 0, 9, 6]], [[1, 0], [2, 2], [1, 0]]]
reward: 0.6665, Epoch: 120, params: 2511169, epoch_time: 26.1453, genotype: [[6, [0, 1, 6, 5], [2, 4, 9, 5], [5, 3, 3, 6]], [[3, 2], [2, 1], [3, 2]]]
reward: 0.7456, Epoch: 121, params: 1929409, epoch_time: 22.1440, genotype: [[10, [0, 1, 3, 10], [0, 3, 0, 0], [6, 7, 4, 9]], [[2, 0], [3, 2], [3, 1]]]
reward: 0.7341, Epoch: 122, params: 2080897, epoch_time: 29.2200, genotype: [[3, [0, 1, 3, 0], [0, 3, 9, 4], [5, 4, 6, 8]], [[2, 2], [2, 1], [0, 4]]]
reward: 0.6291, Epoch: 123, params: 2073985, epoch_time: 21.6914, genotype: [[4, [1, 1, 10, 0], [3, 3, 7, 2], [2, 0, 5, 8]], [[3, 3], [2, 3], [1, 1]]]
reward: 0.6636, Epoch: 124, params: 2165281, epoch_time: 19.0904, genotype: [[9, [0, 1, 3, 0], [4, 4, 7, 1], [7, 4, 9, 6]], [[2, 2], [2, 2], [5, 1]]]
reward: 0.0000, Epoch: 125, params: 2415553, epoch_time: 25.1746, genotype: [[7, [0, 0, 5, 8], [0, 2, 6, 7], [3, 5, 1, 6]], [[2, 1], [2, 0], [5, 4]]]
reward: 0.5143, Epoch: 126, params: 2189473, epoch_time: 20.7963, genotype: [[5, [0, 1, 7, 4], [0, 2, 1, 7], [6, 0, 0, 4]], [[3, 2], [4, 2], [2, 4]]]
reward: 0.7514, Epoch: 127, params: 2076577, epoch_time: 36.8515, genotype: [[2, [0, 1, 5, 7], [3, 1, 3, 10], [2, 5, 4, 8]], [[1, 0], [2, 2], [5, 4]]]
reward: 0.0020, Epoch: 128, params: 2508865, epoch_time: 4.2308, genotype: [[5, [1, 1, 6, 1], [1, 4, 5, 5], [3, 1, 9, 3]], [[0, 0], [4, 2], [0, 3]]]
reward: 0.7500, Epoch: 129, params: 2018689, epoch_time: 25.0029, genotype: [[9, [0, 0, 6, 7], [0, 3, 9, 9], [1, 7, 4, 9]], [[0, 2], [2, 3], [5, 2]]]
reward: 0.7340, Epoch: 130, params: 2035393, epoch_time: 24.9090, genotype: [[9, [1, 0, 10, 2], [3, 4, 5, 4], [5, 5, 0, 10]], [[3, 3], [3, 3], [2, 0]]]
reward: 0.0656, Epoch: 131, params: 2292577, epoch_time: 3.7879, genotype: [[0, [1, 1, 9, 8], [1, 2, 5, 2], [3, 2, 5, 5]], [[1, 3], [0, 0], [0, 1]]]
